1,2,3,4
3,1,2,0
2,,,
2,,,
1,,,
0,,,
3,,,
1,,,
1,,,
3,,,
2,,,
14,,,
7,,,
12,,,
12,,,
2,,,
6,,,
5,,,
10,,,
5,,,
4,,,
8,,,
0,,,
1,,,
0,,,
0,,,
2,,,
4,,,
9,,,
7,,,
8,,,
6,,,
4,,,
4,,,
4,,,
2,,,
4,,,
4,,,
4,,,
1,,,
3,,,
3,,,
2,,,
2,,,
0,,,
4,,,
1,,,
6,,,
2,,,
4,,,
2,,,
6,,,
0,,,
5,,,
6,,,
4,,,
2,,,
5,,,
3,,,
11,,,
11,,,
15,,,
6,,,
19,,,
14,,,
60,,,
54,,,
54,,,
72,,,
43,,,
4,,,
50,,,
101,,,
80,,,
91,,,
43,,,
8,,,
91,,,
123,,,
125,,,
105,,,
40,,,
8,,,
83,,,
5,,,
77,,,
17,,,
84,,,
64,,,
22,,,
14,,,
39,,,
83,,,
47,,,
78,,,
5,,,
14,,,
42,,,
56,,,
36,,,
28,,,
36,,,
16,,,
38,,,
21,,,
20,,,
48,,,
21,,,
7,,,
35,,,
2,,,
52,,,
9,,,
28,,,
47,,,
26,,,
0,,,
4,,,
4,,,
30,,,
0,,,
11,,,
3,,,
1,,,
7,,,
1,,,
0,,,
4,,,
3,,,
0,,,
0,,,
1,,,
0,,,
4,,,
1,,,
1,,,
3,,,
1,,,
2,,,
2,,,
3,,,
4,,,
4,,,
4,,,
0,,,
1,,,
3,,,
3,,,
3,,,
1,,,
3,,,
2,,,
4,,,
1,,,
3,,,
4,,,
0,,,
6,,,
4,,,
5,,,
5,,,
3,,,
1,,,
2,,,
0,,,
2,,,
4,,,
0,,,
1,,,
3,,,
2,,,
1,,,
0,,,
3,,,
0,,,
0,,,
2,,,
3,,,
1,,,
0,,,
1,,,
4,,,
3,,,
0,,,
3,,,
3,,,
2,,,
2,,,
3,,,
3,,,
2,,,
0,,,
2,,,
4,,,
4,,,
0,,,
3,,,
3,,,
0,,,
4,,,
4,,,
0,,,
0,,,
4,,,
3,,,
2,,,
1,,,
2,,,
0,,,
2,,,
3,,,
1,,,
2,,,
3,,,
4,,,
2,,,
1,,,
1,,,
4,,,
1,,,
1,,,
4,,,
3,,,
0,,,
3,,,
2,,,
0,,,
3,,,
3,,,
3,,,
0,,,
2,,,
0,,,
2,,,
3,,,
3,,,
0,,,
3,,,
1,,,
22,,,
7,,,
18,,,
14,,,
19,,,
33,,,
36,,,
19,,,
9,,,
26,,,
32,,,
18,,,
1,,,
7,,,
21,,,
5,,,
10,,,
9,,,
12,,,
39,,,
45,,,
7,,,
17,,,
19,,,
26,,,
1,,,
15,,,
16,,,
24,,,
21,,,
15,,,
13,,,
13,,,
1,,,
17,,,
0,,,
10,,,
15,,,
11,,,
